trip_id,start_time,end_time,headway_secs,exact_times
28281679,07:46:00,08:02:00,960,1
28281680,08:16:00,09:26:00,840,1
28281681,09:33:00,20:03:00,420,1
28281682,20:12:00,20:19:00,420,1
28281683,20:28:00,20:35:00,420,1
28281552,07:20:00,07:30:00,600,1
28281555,07:46:00,08:02:00,960,1
28281558,08:16:00,09:26:00,840,1
28281561,09:33:00,20:03:00,420,1
28281564,20:12:00,20:19:00,420,1
28281567,20:28:00,20:35:00,420,1
28243538,07:37:00,08:09:00,960,1
28243539,08:23:00,09:33:00,840,1
28243540,09:40:00,20:03:00,420,1
28243541,20:12:00,20:19:00,420,1
28243542,20:28:00,20:35:00,420,1
28243543,20:44:00,20:51:00,420,1
28243428,07:37:00,08:09:00,960,1
28243431,08:23:00,09:33:00,840,1
28243434,09:40:00,20:03:00,420,1
28243437,20:12:00,20:19:00,420,1
28243440,20:28:00,20:35:00,420,1
28243443,20:44:00,20:51:00,420,1
28213117,07:00:00,19:50:00,2100,1
28213107,07:00:00,19:15:00,2100,1
28292938,07:00:00,20:00:00,1800,1
28292928,07:00:00,19:30:00,1800,1
28216726,06:25:00,07:00:00,2100,1
28216395,06:35:00,07:39:00,960,1
28216398,07:56:00,08:14:00,1080,1
28216401,08:33:00,08:51:00,1080,1
28216404,09:10:00,09:28:00,1080,1
28216407,09:47:00,10:25:00,1140,1
28216410,10:45:00,14:45:00,1200,1
28216413,15:12:00,17:54:00,1620,1
28216416,18:48:00,19:14:00,1560,1
28216742,17:54:00,18:48:00,1620,1
28216734,12:03:00,13:24:00,1620,1
28216736,14:18:00,15:12:00,1620,1
28216732,09:48:00,11:09:00,1620,1
28250070,06:45:00,07:07:00,1320,1
28250073,07:24:00,07:56:00,960,1
28250076,08:13:00,08:32:00,1140,1
28250079,08:50:00,09:09:00,1140,1
28250082,09:27:00,09:45:00,1080,1
28250085,10:05:00,15:25:00,1200,1
28250088,15:52:00,18:34:00,1620,1
28250386,19:01:00,19:28:00,1620,1
28250379,14:31:00,14:58:00,1620,1
28250381,15:52:00,16:19:00,1620,1
28250382,16:46:00,17:13:00,1620,1
28273873,10:07:00,10:30:00,1380,1
28273485,05:30:00,05:54:00,1440,1
28273488,06:17:00,17:47:00,1380,1
28273491,18:33:00,19:19:00,2760,1
28273867,07:03:00,07:26:00,1380,1
28273879,13:34:00,14:20:00,1380,1
28273876,12:02:00,12:25:00,1380,1
28273874,10:53:00,11:16:00,1380,1
28273881,15:06:00,15:29:00,1380,1
28273888,18:33:00,18:56:00,1380,1
28273870,08:35:00,08:58:00,1380,1
28273885,17:01:00,17:24:00,1380,1
28273891,20:05:00,20:28:00,1380,1
28210930,22:20:00,23:00:00,1200,1
28221811,06:40:00,07:28:00,1440,1
28221814,07:53:00,08:20:00,1620,1
28221817,08:49:00,18:29:00,1740,1
28221820,19:02:00,19:36:00,2040,1
28228739,06:40:00,07:15:00,2100,1
28228742,07:40:00,08:04:00,1440,1
28228745,08:33:00,19:40:00,1740,1
28231870,06:50:00,09:54:00,1380,1
28231871,10:15:00,19:15:00,1200,1
28231872,19:34:00,20:14:00,1200,1
28231873,20:36:00,20:58:00,1320,1
28231482,05:40:00,06:02:00,1320,1
28231485,06:25:00,07:00:00,2100,1
28231488,07:18:00,07:36:00,1080,1
28231491,07:53:00,08:11:00,1080,1
28231494,08:28:00,08:46:00,1080,1
28231497,09:03:00,09:21:00,1080,1
28231500,09:38:00,09:56:00,1080,1
28231503,10:13:00,10:31:00,1080,1
28231506,10:48:00,11:06:00,1080,1
28231509,11:23:00,11:41:00,1080,1
28231512,11:58:00,12:16:00,1080,1
28231515,12:33:00,12:51:00,1080,1
28231518,13:08:00,13:26:00,1080,1
28231521,13:43:00,14:01:00,1080,1
28231524,14:18:00,14:36:00,1080,1
28231527,14:53:00,15:11:00,1080,1
28231530,15:28:00,15:46:00,1080,1
28231533,16:03:00,16:21:00,1080,1
28231536,16:38:00,16:56:00,1080,1
28231539,17:13:00,17:31:00,1080,1
28231542,17:48:00,18:06:00,1080,1
28231545,18:23:00,18:41:00,1080,1
28231548,19:16:00,19:33:00,1020,1
28243144,22:15:00,23:15:00,1800,1
28257615,06:20:00,06:37:00,1020,1
28257618,06:49:00,07:06:00,1020,1
28257621,07:24:00,07:41:00,1020,1
28257624,07:59:00,08:16:00,1020,1
28257627,08:28:00,09:19:00,1020,1
28257630,09:37:00,09:54:00,1020,1
28257633,10:12:00,10:29:00,1020,1
28257636,10:47:00,11:04:00,1020,1
28257639,11:22:00,11:39:00,1020,1
28257642,11:57:00,12:14:00,1020,1
28257645,12:32:00,12:49:00,1020,1
28257648,13:07:00,13:24:00,1020,1
28257651,13:42:00,13:59:00,1020,1
28257654,14:17:00,14:34:00,1020,1
28257657,14:52:00,15:09:00,1020,1
28257660,15:27:00,15:44:00,1020,1
28257663,16:02:00,16:19:00,1020,1
28257666,16:37:00,16:54:00,1020,1
28257669,17:12:00,17:29:00,1020,1
28257672,17:47:00,18:04:00,1020,1
28257675,18:22:00,18:39:00,1020,1
28257678,19:14:00,19:32:00,1080,1
28258049,07:33:00,07:56:00,1380,1
28258052,09:05:00,09:27:00,1320,1
28258054,10:05:00,10:25:00,1200,1
28258056,11:05:00,11:25:00,1200,1
28258060,13:05:00,13:25:00,1200,1
28258058,12:05:00,12:25:00,1200,1
28258064,15:05:00,15:25:00,1200,1
28258062,14:05:00,14:25:00,1200,1
28258066,16:05:00,16:25:00,1200,1
28258068,17:05:00,17:25:00,1200,1
28258070,18:05:00,18:25:00,1200,1
28258072,19:07:00,19:29:00,1320,1
28232681,21:15:00,21:37:00,1320,1
28232682,22:00:00,23:00:00,1800,1
28239632,22:05:00,23:33:00,1320,1
28239622,22:27:00,23:11:00,2640,1
28262731,05:37:00,05:55:00,1080,1
28281380,06:20:00,07:26:00,1320,1
28281381,07:44:00,09:56:00,1320,1
28281382,10:20:00,11:56:00,1440,1
28281383,12:19:00,12:43:00,1440,1
28281384,13:06:00,13:28:00,1320,1
28281385,13:45:00,14:05:00,1200,1
28281386,14:26:00,15:50:00,1260,1
28281387,16:10:00,17:55:00,1260,1
28281388,18:15:00,18:57:00,1260,1
28281389,19:20:00,20:35:00,1500,1
28281032,05:30:00,05:49:00,1140,1
28281035,06:07:00,06:26:00,1140,1
28281038,06:44:00,07:20:00,1080,1
28281041,07:36:00,07:55:00,1140,1
28281044,08:15:00,09:12:00,1140,1
28281047,09:28:00,09:43:00,900,1
28281050,10:02:00,15:25:00,1140,1
28281053,16:03:00,17:38:00,1140,1
28281056,18:16:00,18:35:00,1140,1
28281059,18:55:00,20:35:00,3000,1
28247023,21:20:00,22:48:00,1320,1
28247013,21:42:00,22:26:00,2640,1
28282342,13:40:00,19:40:00,1200,1
28282676,08:40:00,09:00:00,1200,1
28282698,17:20:00,17:40:00,1200,1
28282682,11:00:00,11:20:00,1200,1
28282686,12:40:00,13:00:00,1200,1
28282693,15:20:00,15:40:00,1200,1
28290148,13:40:00,19:40:00,1200,1
28290481,12:00:00,12:20:00,1200,1
28290493,16:40:00,17:20:00,1200,1
28290490,15:20:00,15:40:00,1200,1
28217621,07:00:00,07:50:00,3000,1
28217622,08:35:00,18:20:00,2700,1
28217599,07:00:00,07:50:00,3000,1
28217602,08:35:00,18:20:00,2700,1
28222995,05:35:00,06:25:00,1500,1
28222998,06:42:00,06:58:00,960,1
28223001,07:13:00,09:37:00,960,1
28223004,09:54:00,16:24:00,1560,1
28223007,16:42:00,18:50:00,960,1
28223010,19:10:00,19:50:00,1200,1
28242169,06:15:00,06:45:00,1800,1
28242170,07:11:00,19:45:00,1560,1
28242171,20:12:00,21:33:00,1620,1
28253159,05:25:00,05:48:00,1380,1
28253162,06:09:00,06:23:00,840,1
28253165,06:35:00,06:45:00,600,1
28253168,07:00:00,07:14:00,840,1
28253171,07:29:00,07:44:00,900,1
28253174,07:58:00,08:46:00,960,1
28253177,09:04:00,09:56:00,1560,1
28253180,10:23:00,16:01:00,1560,1
28253183,16:19:00,16:36:00,1020,1
