service_id,date,exception_type
28292757,20220425,1
28292757,20220613,1
28292757,20220301,1
28292757,20221101,1
28292757,20221005,1
28292757,20220616,1
28292757,20221201,1
28292757,20221208,1
28292757,20220610,1
28292758,20220425,1
28292758,20220613,1
28292758,20220301,1
28292758,20221101,1
28292758,20221005,1
28292758,20220616,1
28292758,20221201,1
28292758,20221208,1
28292758,20220610,1
28292759,20220425,1
28292759,20220613,1
28292759,20220301,1
28292759,20221101,1
28292759,20221005,1
28292759,20220616,1
28292759,20221201,1
28292759,20221208,1
28292759,20220610,1
28292760,20220425,1
28292760,20220613,1
28292760,20220301,1
28292760,20221101,1
28292760,20221005,1
28292760,20220616,1
28292760,20221201,1
28292760,20221208,1
28292760,20220610,1
28292761,20220425,1
28292761,20220613,1
28292761,20220301,1
28292761,20221101,1
28292761,20221005,1
28292761,20220616,1
28292761,20221201,1
28292761,20221208,1
28292761,20220610,1
28292762,20220425,1
28292762,20220613,1
28292762,20220301,1
28292762,20221101,1
28292762,20221005,1
28292762,20220616,1
28292762,20221201,1
28292762,20221208,1
28292762,20220610,1
28292764,20220425,1
28292764,20220613,1
28292764,20220301,1
28292764,20221101,1
28292764,20221005,1
28292764,20220616,1
28292764,20221201,1
28292764,20221208,1
28292764,20220610,1
28292756,20220425,1
28292756,20220613,1
28292756,20220301,1
28292756,20221101,1
28292756,20221005,1
28292756,20220616,1
28292756,20221201,1
28292756,20221208,1
28292756,20220610,1
28292763,20220425,1
28292763,20220613,1
28292763,20220301,1
28292763,20221101,1
28292763,20221005,1
28292763,20220616,1
28292763,20221201,1
28292763,20221208,1
28292763,20220610,1
28292765,20220425,1
28292765,20220613,1
28292765,20220301,1
28292765,20221101,1
28292765,20221005,1
28292765,20220616,1
28292765,20221201,1
28292765,20221208,1
28292765,20220610,1
28246242,20220425,1
28246242,20220613,1
28246242,20220301,1
28246242,20221101,1
28246242,20221005,1
28246242,20220616,1
28246242,20221201,1
28246242,20221208,1
28246242,20220610,1
28246243,20220425,1
28246243,20220613,1
28246243,20220301,1
28246243,20221101,1
28246243,20221005,1
28246243,20220616,1
28246243,20221201,1
28246243,20221208,1
28246243,20220610,1
28246244,20220425,1
28246244,20220613,1
28246244,20220301,1
28246244,20221101,1
28246244,20221005,1
28246244,20220616,1
28246244,20221201,1
28246244,20221208,1
28246244,20220610,1
28246245,20220425,1
28246245,20220613,1
28246245,20220301,1
28246245,20221101,1
28246245,20221005,1
28246245,20220616,1
28246245,20221201,1
28246245,20221208,1
28246245,20220610,1
28246246,20220425,1
28246246,20220613,1
28246246,20220301,1
28246246,20221101,1
28246246,20221005,1
28246246,20220616,1
28246246,20221201,1
28246246,20221208,1
28246246,20220610,1
28254750,20220425,1
28254750,20220613,1
28254750,20220301,1
28254750,20221101,1
28254750,20221005,1
28254750,20220616,1
28254750,20221201,1
28254750,20221208,1
28254750,20220610,1
28254751,20220425,1
28254751,20220613,1
28254751,20220301,1
28254751,20221101,1
28254751,20221005,1
28254751,20220616,1
28254751,20221201,1
28254751,20221208,1
28254751,20220610,1
28254752,20220425,1
28254752,20220613,1
28254752,20220301,1
28254752,20221101,1
28254752,20221005,1
28254752,20220616,1
28254752,20221201,1
28254752,20221208,1
28254752,20220610,1
28254753,20220425,1
28254753,20220613,1
28254753,20220301,1
28254753,20221101,1
28254753,20221005,1
28254753,20220616,1
28254753,20221201,1
28254753,20221208,1
28254753,20220610,1
28239199,20220425,1
28239199,20220613,1
28239199,20220301,1
28239199,20221101,1
28239199,20221005,1
28239199,20220616,1
28239199,20221201,1
28239199,20221208,1
28239199,20220610,1
28239200,20220425,1
28239200,20220613,1
28239200,20220301,1
28239200,20221101,1
28239200,20221005,1
28239200,20220616,1
28239200,20221201,1
28239200,20221208,1
28239200,20220610,1
28214097,20220425,1
28214097,20220613,1
28214097,20220301,1
28214097,20221101,1
28214097,20221005,1
28214097,20220616,1
28214097,20221201,1
28214097,20221208,1
28214097,20220610,1
28214098,20220425,1
28214098,20220613,1
28214098,20220301,1
28214098,20221101,1
28214098,20221005,1
28214098,20220616,1
28214098,20221201,1
28214098,20221208,1
28214098,20220610,1
28214099,20220425,1
28214099,20220613,1
28214099,20220301,1
28214099,20221101,1
28214099,20221005,1
28214099,20220616,1
28214099,20221201,1
28214099,20221208,1
28214099,20220610,1
28214100,20220425,1
28214100,20220613,1
28214100,20220301,1
28214100,20221101,1
28214100,20221005,1
28214100,20220616,1
28214100,20221201,1
28214100,20221208,1
28214100,20220610,1
28214101,20220425,1
28214101,20220613,1
28214101,20220301,1
28214101,20221101,1
28214101,20221005,1
28214101,20220616,1
28214101,20221201,1
28214101,20221208,1
28214101,20220610,1
28246384,20220425,1
28246384,20220613,1
28246384,20220301,1
28246384,20221101,1
28246384,20221005,1
28246384,20220616,1
28246384,20221201,1
28246384,20221208,1
28246384,20220610,1
28246385,20220425,1
28246385,20220613,1
28246385,20220301,1
28246385,20221101,1
28246385,20221005,1
28246385,20220616,1
28246385,20221201,1
28246385,20221208,1
28246385,20220610,1
28246386,20220425,1
28246386,20220613,1
28246386,20220301,1
28246386,20221101,1
28246386,20221005,1
28246386,20220616,1
28246386,20221201,1
28246386,20221208,1
28246386,20220610,1
28246387,20220425,1
28246387,20220613,1
28246387,20220301,1
28246387,20221101,1
28246387,20221005,1
28246387,20220616,1
28246387,20221201,1
28246387,20221208,1
28246387,20220610,1
28269967,20220425,1
28269967,20220613,1
28269967,20220301,1
28269967,20221101,1
28269967,20221005,1
28269967,20220616,1
28269967,20221201,1
28269967,20221208,1
28269967,20220610,1
28269968,20220425,1
28269968,20220613,1
28269968,20220301,1
28269968,20221101,1
28269968,20221005,1
28269968,20220616,1
28269968,20221201,1
28269968,20221208,1
28269968,20220610,1
28229828,20220425,1
28229828,20220613,1
28229828,20220301,1
28229828,20221101,1
28229828,20221005,1
28229828,20220616,1
28229828,20221201,1
28229828,20221208,1
28229828,20220610,1
28229829,20220425,1
28229829,20220613,1
28229829,20220301,1
28229829,20221101,1
28229829,20221005,1
28229829,20220616,1
28229829,20221201,1
28229829,20221208,1
28229829,20220610,1
28229830,20220425,1
28229830,20220613,1
28229830,20220301,1
28229830,20221101,1
28229830,20221005,1
28229830,20220616,1
28229830,20221201,1
28229830,20221208,1
28229830,20220610,1
28229831,20220425,1
28229831,20220613,1
28229831,20220301,1
28229831,20221101,1
28229831,20221005,1
28229831,20220616,1
28229831,20221201,1
28229831,20221208,1
28229831,20220610,1
28229832,20220425,1
28229832,20220613,1
28229832,20220301,1
28229832,20221101,1
28229832,20221005,1
28229832,20220616,1
28229832,20221201,1
28229832,20221208,1
28229832,20220610,1
28229833,20220425,1
28229833,20220613,1
28229833,20220301,1
28229833,20221101,1
28229833,20221005,1
28229833,20220616,1
28229833,20221201,1
28229833,20221208,1
28229833,20220610,1
28229834,20220425,1
28229834,20220613,1
28229834,20220301,1
28229834,20221101,1
28229834,20221005,1
28229834,20220616,1
28229834,20221201,1
28229834,20221208,1
28229834,20220610,1
28229835,20220425,1
