shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
11060103060111,19933,38.75496,-9.26538,10,
11060111060137,19933,38.75154,-9.28402,11,
11060137061002,19933,38.76639,-9.29841,12,
11061002061044,19933,38.78464,-9.32225,13,
11061044061051,19933,38.79224,-9.32972,14,
11061051061069,19933,38.79763,-9.34145,15,
11061069061093,19933,38.80221,-9.37681,16,
11061093061101,19933,38.79931,-9.38543,17,
11091058068130,20083,38.52485,-8.88658,1,
11068130068122,20083,38.53061,-8.88499,2,
11068122068080,20083,38.57109,-8.8727,3,
11068080068049,20083,38.60648,-8.88886,4,
11068049068007,20083,38.62986,-8.91365,5,
11068007095125,20083,38.63833,-8.95701,6,
11095125095109,20083,38.64488,-8.99641,7,
11095109095075,20083,38.65194,-9.02695,8,
11095075095059,20083,38.65928,-9.04354,9,
11095059095042,20083,38.66198,-9.0587,10,
11095042095026,20083,38.65968,-9.07187,11,
11095026095000,20083,38.65313,-9.08008,12,
11095000095026,20084,38.65968,-9.07187,1,
11095026095042,20084,38.66198,-9.0587,2,
11095042095059,20084,38.65928,-9.04354,3,
11095059095075,20084,38.65194,-9.02695,4,
11095075095109,20084,38.64488,-8.99641,5,
11095109095125,20084,38.63833,-8.95701,6,
11095125068007,20084,38.62986,-8.91365,7,
11068007068049,20084,38.60648,-8.88886,8,
11068049068080,20084,38.57109,-8.8727,9,
11068080068122,20084,38.53061,-8.88499,10,
11068122068130,20084,38.52485,-8.88658,11,
11068130091058,20084,38.51804,-8.83772,12,
11033001031401,22018,39.05053,-8.90299,1,
11031401031377,22018,39.03683,-8.92733,2,
11031377031336,22018,39.0064,-8.95319,3,
11031336031310,22018,38.98747,-8.96654,4,
11031310031278,22018,38.95597,-8.98576,5,
11031278031237,22018,38.92441,-9.01135,6,
11031237031187,22018,38.891,-9.03312,7,
11031187031146,22018,38.85952,-9.06361,8,
11031146031112,22018,38.84098,-9.08027,9,
11031112031070,22018,38.80742,-9.09443,10,
11031070031062,22018,38.7958,-9.09959,11,
11031062031047,22018,38.77804,-9.09959,12,
11031047031039,22018,38.76799,-9.09935,13,
11031039031005,22018,38.7467,-9.1029,14,
11031005030007,22018,38.71381,-9.12303,15,
11030007031005,22019,38.7467,-9.1029,1,
11031005031039,22019,38.76799,-9.09935,2,
11031039031047,22019,38.77804,-9.09959,3,
11031047031062,22019,38.7958,-9.09959,4,
11031062031070,22019,38.80742,-9.09443,5,
11031070031112,22019,38.84098,-9.08027,6,
11031112031146,22019,38.85952,-9.06361,7,
11031146031187,22019,38.891,-9.03312,8,
11031187031237,22019,38.92441,-9.01135,9,
11031237031278,22019,38.95597,-8.98576,10,
11031278031310,22019,38.98747,-8.96654,11,
11031310031336,22019,39.0064,-8.95319,12,
11031336031377,22019,39.03683,-8.92733,13,
11031377031401,22019,39.05053,-8.90299,14,
11031401033001,22019,39.06842,-8.86616,15,
11067025060004,22020,38.73295,-9.1685,1,
11060004066076,22020,38.74039,-9.16702,2,
11066076066050,22020,38.74461,-9.14873,3,
11066050066035,22020,38.74581,-9.13427,4,
11066035066019,22020,38.7395,-9.10822,5,
11066019031005,22020,38.7467,-9.1029,6,
11031005031039,22020,38.76799,-9.09935,7,
11031039031047,22020,38.77804,-9.09959,8,
11031047031062,22020,38.7958,-9.09959,9,
11031062031070,22020,38.80742,-9.09443,10,
11031070031112,22020,38.84098,-9.08027,11,
11031112031146,22020,38.85952,-9.06361,12,
11031146031187,22020,38.891,-9.03312,13,
11031187031237,22020,38.92441,-9.01135,14,
11031237031278,22020,38.95597,-8.98576,15,
11031278031310,22020,38.98747,-8.96654,16,
11031310031278,22021,38.95597,-8.98576,1,
11031278031237,22021,38.92441,-9.01135,2,
11031237031187,22021,38.891,-9.03312,3,
11031187031146,22021,38.85952,-9.06361,4,
11031146031112,22021,38.84098,-9.08027,5,
11031112031070,22021,38.80742,-9.09443,6,
11031070031062,22021,38.7958,-9.09959,7,
