shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_207DESC0_16003_16005,193040,38.79595,-9.149517,2,
1_207DESC0_16005_11605,193040,38.7935,-9.15205,3,
1_207DESC0_11605_11603,193040,38.792267,-9.150767,4,
1_207DESC0_11603_11601,193040,38.790754,-9.150761,5,
1_207DESC0_11601_6001,193040,38.787328,-9.149174,6,
1_207DESC0_6001_6003,193040,38.78785,-9.145983,7,
1_207DESC0_6003_6005,193040,38.787177,-9.142515,8,
1_207DESC0_6005_6009,193040,38.785717,-9.142687,9,
1_207DESC0_6009_6011,193040,38.783577,-9.143382,10,
1_207DESC0_6011_6013,193040,38.779204,-9.144684,11,
1_207DESC0_6013_11509,193040,38.777283,-9.146433,12,
1_207DESC0_11509_6019,193040,38.77981,-9.151585,13,
1_207DESC0_6019_6030,193040,38.780183,-9.151478,14,
1_207DESC0_6030_6015,193040,38.780583,-9.1482,15,
1_207DESC0_6015_11505,193040,38.774761,-9.147431,16,
1_207DESC0_11505_11510,193040,38.774409,-9.151747,17,
1_207DESC0_11510_5930,193040,38.774463,-9.156902,18,
1_207DESC0_5930_5959,193040,38.774243,-9.15989,19,
1_207DESC0_5959_5906,193040,38.772642,-9.161176,20,
1_207DESC0_5906_5904,193040,38.770242,-9.159899,21,
1_207DESC0_5904_5902,193040,38.767652,-9.158362,22,
1_207DESC0_5902_5814,193040,38.765269,-9.15735,23,
1_207DESC0_5814_5808,193040,38.760937,-9.157327,24,
1_207DESC0_5808_5804,193040,38.757791,-9.155399,25,
1_207DESC0_5804_5710,193040,38.754021,-9.152637,26,
1_207DESC0_5710_2008,193040,38.752125,-9.151248,27,
1_207DESC0_2008_2006,193040,38.748985,-9.149486,28,
1_207DESC0_2006_2002,193040,38.747207,-9.14842,29,
1_207DESC0_2002_2020,193040,38.74465,-9.147815,30,
1_207DESC0_2020_1906,193040,38.741701,-9.146947,31,
1_207DESC0_1906_1810,193040,38.73847,-9.146113,32,
1_207DESC0_1810_1802,193040,38.733899,-9.14507,33,
1_207DESC0_1802_1714,193040,38.730371,-9.147066,34,
1_207DESC0_1714_1702,193040,38.72861,-9.148146,35,
1_207DESC0_1702_1206,193040,38.726623,-9.149521,36,
1_207DESC0_1206_1102,193040,38.720248,-9.145721,37,
1_207DESC0_1102_1006,193040,38.715631,-9.141918,38,
1_207DESC0_1006_908,193040,38.714037,-9.139885,39,
1_207DESC0_908_5508,193040,38.708372,-9.137739,40,
1_207DESC0_5508_3820,193040,38.707229,-9.141645,41,
1_207DESC0_3820_3812,193040,38.705474,-9.143463,42,
1_22BCIRC0_3816_3817,193045,38.706656,-9.143275,1,
1_22BCIRC0_3817_3825,193045,38.707592,-9.143346,2,
1_22BCIRC0_3825_10512,193045,38.710788,-9.143595,3,
1_22BCIRC0_10512_10510,193045,38.710801,-9.145324,4,
1_22BCIRC0_10510_10505,193045,38.712705,-9.145311,5,
1_22BCIRC0_10505_10603,193045,38.714902,-9.145893,6,
1_22BCIRC0_10603_10610,193045,38.716024,-9.14824,7,
1_22BCIRC0_10610_6716,193045,38.714839,-9.150155,8,
1_22BCIRC0_6716_6714,193045,38.714907,-9.151562,9,
1_22BCIRC0_6714_6704,193045,38.713484,-9.153328,10,
1_22BCIRC0_6704_6723,193045,38.71036,-9.152648,11,
1_22BCIRC0_6723_7106,193045,38.70862,-9.151762,12,
1_22BCIRC0_7106_9902,193045,38.708449,-9.147047,13,
1_22BCIRC0_9902_3816,193045,38.707239,-9.145022,14,
1_24EASC0_10513_10501,193046,38.710957,-9.142904,1,
1_24EASC0_10501_10503,193046,38.713181,-9.143334,2,
1_24EASC0_10503_10601,193046,38.714911,-9.144479,3,
1_24EASC0_10601_10605,193046,38.71657,-9.14811,4,
1_24EASC0_10605_10607,193046,38.71807,-9.15194,5,
1_24EASC0_10607_6819,193046,38.72045,-9.15539,6,
1_24EASC0_6819_6824,193046,38.721471,-9.156386,7,
1_24EASC0_6824_8515,193046,38.72387,-9.15962,8,
1_24EASC0_8515_8509,193046,38.725223,-9.159972,9,
1_24EASC0_8509_6129,193046,38.72739,-9.16145,10,
1_24EASC0_6129_6130,193046,38.726763,-9.161993,11,
1_24EDESC0_6130_8510,193047,38.723993,-9.159783,1,
1_24EDESC0_8510_8516,193047,38.723341,-9.159414,2,
1_24EDESC0_8516_6823,193047,38.721516,-9.156541,3,
1_24EDESC0_6823_6808,193047,38.71974,-9.15417,4,
1_24EDESC0_6808_10608,193047,38.717537,-9.151047,5,
1_24EDESC0_10608_10609,193047,38.71651,-9.14818,6,
1_24EDESC0_10609_10604,193047,38.715457,-9.145094,7,
1_24EDESC0_10604_10602,193047,38.714502,-9.144355,8,
1_24EDESC0_10602_10504,193047,38.71255,-9.143213,9,
1_24EDESC0_10504_10512,193047,38.710788,-9.143595,10,
1_26BASC0_79109_79120,193052,38.792078,-9.099371,1,
1_26BASC0_79120_79118,193052,38.788861,-9.09822,2,
1_26BASC0_79118_79116,193052,38.78585,-9.096799,3,
1_26BASC0_79116_79108,193052,38.783205,-9.095128,4,
1_26BASC0_79108_79106,193052,38.782218,-9.095744,5,
1_26BASC0_79106_79104,193052,38.7806,-9.096488,6,
1_26BASC0_79104_79102,193052,38.77871,-9.095356,7,
1_26BASC0_79102_78102,193052,38.776025,-9.095104,8,
1_26BASC0_78102_7908,193052,38.775044,-9.10224,9,
1_26BASC0_7908_7714,193052,38.769143,-9.1099,10,
1_26BASC0_7714_7719,193052,38.766947,-9.110173,11,
1_26BASC0_7719_7718,193052,38.764899,-9.109781,12,
1_26BASC0_7718_8422,193052,38.762853,-9.108451,13,
1_26BASC0_8422_2313,193052,38.763674,-9.103671,14,
1_26BASC0_2313_2315,193052,38.766835,-9.104004,15,
1_26BASC0_2315_7805,193052,38.768475,-9.098836,16,
1_26BASC0_7805_2511,193052,38.765975,-9.098179,17,
